Pedido,ProveedorID,NIF,Importe_Total,Estado,Fecha_Pedido
PO-2026-0001,P003,B30455812,9221.75,ABIERTO,2026-01-31
PO-2026-0002,P001,B46102331,10325.9,ABIERTO,2026-06-27
PO-2026-0003,P007,J40112358,7829.51,ABIERTO,2026-02-16
PO-2026-0004,P006,A46990201,9561.57,ABIERTO,2026-06-25
PO-2026-0005,P003,B30455812,9299.620000000001,ABIERTO,2026-05-16
PO-2026-0006,P011,B90233808,994.45,ABIERTO,2026-05-04
PO-2026-0007,P002,A41220987,6867.55,ABIERTO,2026-04-14
PO-2026-0008,P005,B96233419,10277.86,ABIERTO,2026-05-02
PO-2026-0009,P006,A46990201,3069.01,ABIERTO,2026-03-21
PO-2026-0010,P005,B96233419,153.19,ABIERTO,2026-04-12
PO-2026-0011,P010,B98455101,8851.92,ABIERTO,2026-04-01
PO-2026-0012,P010,B98455101,430.32,ABIERTO,2026-06-05
PO-2026-0013,P005,B96233419,4659.76,ABIERTO,2026-06-01
PO-2026-0014,P004,B98120774,2624.11,ABIERTO,2026-04-19
PO-2026-0015,P001,B46102331,4823.6,ABIERTO,2026-07-23
PO-2026-0016,P002,A41220987,9454.83,ABIERTO,2026-04-06
PO-2026-0017,P007,J40112358,9983.01,ABIERTO,2026-02-05
PO-2026-0019,P008,B91455230,4902.21,ABIERTO,2026-02-24
PO-2026-0020,P007,J40112358,7938.54,ABIERTO,2026-02-20
PO-2026-0021,P006,A46990201,2383.2,ABIERTO,2026-01-22
PO-2026-0022,P010,B98455101,7351.8,ABIERTO,2026-04-03
PO-2026-0023,P011,B90233808,7769.13,ABIERTO,2026-05-12
PO-2026-0024,P011,B90233808,8714.780000000001,ABIERTO,2026-06-07
PO-2026-0025,P004,B98120774,9544.870000000001,ABIERTO,2026-07-07
PO-2026-0026,P008,B91455230,1238.05,ABIERTO,2026-03-15
PO-2026-0027,P003,B30455812,4589.46,ABIERTO,2026-06-18
PO-2026-0028,P006,A46990201,3608.62,ABIERTO,2026-04-14
PO-2026-0029,P010,B98455101,10806.23,ABIERTO,2026-04-21
PO-2026-0030,P007,J40112358,2535.07,ABIERTO,2026-06-07
PO-2026-0031,P010,B98455101,396.09,ABIERTO,2026-07-06
PO-2026-0033,P003,B30455812,3905.6,ABIERTO,2026-01-10
PO-2026-0034,P008,B91455230,6286.68,ABIERTO,2026-07-06
PO-2026-0035,P007,J40112358,5008.27,ABIERTO,2026-04-10
PO-2026-0036,P010,B98455101,3205.37,ABIERTO,2026-05-12
PO-2026-0038,P004,B98120774,184.66,ABIERTO,2026-01-08
PO-2026-0039,P004,B98120774,4007.53,ABIERTO,2026-07-12
PO-2026-0040,P010,B98455101,9300.360000000001,ABIERTO,2026-06-06
PO-2026-0042,P010,B98455101,7161.18,ABIERTO,2026-01-12
PO-2026-0043,P011,B90233808,7205.49,ABIERTO,2026-04-02
PO-2026-0044,P002,A41220987,4183.22,ABIERTO,2026-01-15
PO-2026-0045,P003,B30455812,2527.69,ABIERTO,2026-07-24
