ID,Razon Social,NIF,IBAN,Ciudad,Condiciones (días)
P001,Suministros Levante S.L.,B46102331,ES2100491500051234567890,Valencia,60
P002,Transportes Guadaira S.A.,A41220987,ES7621000813610123456789,Sevilla,45
P003,Ofimática Cieza S.L.,B30455812,ES6001825322180201588391,Murcia,60
P004,Limpiezas Turia S.L.,B98120774,ES4414650100951704302211,Valencia,45
P005,Catering Hermanos Pico S.L.,B96233419,ES1800815290070001234567,Valencia,45
P006,Electricidad Montcada S.A.,A46990201,ES3520385778983000765410,Valencia,60
P007,Papelería Ruzafa S.C.,J40112358,ES5531590012348765123407,Valencia,30
P008,Seguridad Alcores S.L.,B91455230,ES0900730100510505331902,Sevilla,30
P009,Construcciones Benimaclet S.A.,A46311208,ES8201280011230100044571,Valencia,60
P010,Informática Benimámet S.L.,B98455101,ES2702390806667122334455,Valencia,30
P011,Mensajería Rápida del Sur S.L.,B90233808,ES9368884400123588900142,Málaga,30
P007,Papelería Ruzafa S.C.,J40112358,ES5531590012348765123407,Valencia,30
