numero,nif_proveedor,importe,estado,pagado
P-2026-001,B12345678,121.00,PENDIENTE,no
P-2026-002,B87654321,847.00,PENDIENTE,no
P-2026-003,B12345678,60.50,SERVIDO,no
P-2026-004,X1234567R,242.00,PENDIENTE,si
PO-2026-0001,B30455812,9221.75,PENDIENTE,no
PO-2026-0002,B46102331,10325.90,PENDIENTE,no
PO-2026-0003,J40112358,7829.51,PENDIENTE,no
PO-2026-0004,A46990201,9561.57,PENDIENTE,no
PO-2026-0005,B30455812,9299.62,PENDIENTE,no
PO-2026-0006,B90233808,994.45,PENDIENTE,no
PO-2026-0007,A41220987,6867.55,PENDIENTE,no
PO-2026-0008,B96233419,10277.86,PENDIENTE,no
PO-2026-0009,A46990201,3069.01,PENDIENTE,no
PO-2026-0010,B96233419,153.19,PENDIENTE,no
PO-2026-0011,B98455101,8851.92,PENDIENTE,no
PO-2026-0012,B98455101,430.32,PENDIENTE,no
PO-2026-0013,B96233419,4659.76,PENDIENTE,no
PO-2026-0014,B98120774,2624.11,PENDIENTE,no
PO-2026-0015,B46102331,4823.60,PENDIENTE,no
PO-2026-0016,A41220987,9454.83,PENDIENTE,no
PO-2026-0017,J40112358,9983.01,PENDIENTE,no
PO-2026-0019,B91455230,4902.21,PENDIENTE,no
PO-2026-0020,J40112358,7938.54,PENDIENTE,no
PO-2026-0021,A46990201,2383.20,PENDIENTE,no
PO-2026-0022,B98455101,7351.80,PENDIENTE,no
PO-2026-0023,B90233808,7769.13,PENDIENTE,no
PO-2026-0024,B90233808,8714.78,PENDIENTE,no
PO-2026-0025,B98120774,9544.87,PENDIENTE,no
PO-2026-0026,B91455230,1238.05,PENDIENTE,no
PO-2026-0027,B30455812,4589.46,PENDIENTE,no
PO-2026-0028,A46990201,3608.62,PENDIENTE,no
PO-2026-0029,B98455101,10806.23,PENDIENTE,no
PO-2026-0030,J40112358,2535.07,PENDIENTE,no
PO-2026-0031,B98455101,396.09,PENDIENTE,no
PO-2026-0033,B30455812,3905.60,PENDIENTE,no
PO-2026-0034,B91455230,6286.68,PENDIENTE,no
PO-2026-0035,J40112358,5008.27,PENDIENTE,no
PO-2026-0036,B98455101,3205.37,PENDIENTE,no
PO-2026-0038,B98120774,184.66,PENDIENTE,no
PO-2026-0039,B98120774,4007.53,PENDIENTE,no
PO-2026-0040,B98455101,9300.36,PENDIENTE,no
PO-2026-0042,B98455101,7161.18,PENDIENTE,no
PO-2026-0043,B90233808,7205.49,PENDIENTE,no
PO-2026-0044,A41220987,4183.22,PENDIENTE,no
PO-2026-0045,B30455812,2527.69,PENDIENTE,no
PO-2026-0046,A46990201,10631.48,PENDIENTE,no
PO-2026-0047,B30455812,8968.39,PENDIENTE,no
PO-2026-0048,B90233808,1111.74,PENDIENTE,no
PO-2026-0049,B30455812,6873.94,PENDIENTE,no
